text,author,published_at,like_count
A positive message from Van Jones w a CNN interviewer. Now that’s amazing. Charlie changed the World and we are turning it around only w  God’s love and ultimate wisdom,@Tayva3434,2025-10-25T01:55:29Z,0
"WOW! This Van dude is such A FOOOOL!!! Kirk DOES NOT DEBATE!! He gets you on his platform, twists everything you say, over talks you, then shut's the mike off when you start making sense! WTF is wrong with you!!!!!!!!!!!!!!!!",@mikewilliams6043,2025-10-24T19:40:56Z,0
"Sudden respect for Van Jones... agree 100% we all need to agree to disagree, true gentleman",@keithmoore7515,2025-10-23T17:45:17Z,0
Charlie Kirk was killed by the IDF. He had changed his mind on supporting Israel and communicating it.,@eviliswhereevilthinks9617,2025-10-23T11:44:38Z,0
"TRUMP- A man who crowns himself king and calls it patriotism has already declared war on democracy. His fantasy fighter-pilot videos are pure idiocracy — delusion dressed as destiny while he bombs truth itself. America deserves a leader with a conscience, not a cartoon tyrant playing soldier while our nation burns.",@eviliswhereevilthinks9617,2025-10-23T11:42:50Z,0
Bull$#!+...,@characters7568,2025-10-22T18:54:49Z,0
"He was trying to make more money, come on Van!!!! We can be easily fooled",@krashidshak,2025-10-22T16:02:19Z,0
What was the great message?,@krashidshak,2025-10-22T16:01:05Z,0
Van didnt want to go on charlies show because he didnt want to grow his platform. Lol Charlie was 1000x bigger than this fool.,@JackalKing223,2025-10-21T04:42:24Z,0
But he DID kill that girl bc she was white…the killer said so in his own words.,@AMcDub0708,2025-10-20T05:04:20Z,0
"There are PLENTY of videos proving otherwise, Chuckie was a terrible person.  Chuckles is dead for talking about the genocidal zionists so the IDF took him out.",@sephfyr,2025-10-19T19:57:17Z,0
"Why even debate a fascism-soft power is beyond me.
'Let them talk'....sure, what could possibly go wrong, right?
Well, Auschwitz didn't start as a concentration camp. It started with words.

The world does not need fascism, nor the people who empower it.",@marcoanonymous8434,2025-10-19T17:39:56Z,0
Much respect for this!,@j.sun-the-rapper5489,2025-10-19T07:58:49Z,0
People on both sides are not calling for civil war and murders.  Far left has become terrorism in America.,@g.willikers7712,2025-10-16T19:37:10Z,0
🙄,@nycaight,2025-10-15T16:42:22Z,0
Surprised Van didn’t cry about Charlie Kirk’s death,@MKane-j1b,2025-10-15T16:15:10Z,0
Charlie Kirk wanting to have you on says so much. Charlie Kirk is an abhorrent evil soul. May the world heal now that his poison removed from our society.,@MKane-j1b,2025-10-15T16:13:46Z,0
CNN always tries to tell a one sided story. Van Jones is disgusting with his little Gaza baby stunt. He should never be allowed on air again,@MKane-j1b,2025-10-15T16:11:34Z,1
Van jones gets paid to lie to you about israel the same people thaT HATE christians..they hate us. And van gets paid to shield israel,@Youneverknow100,2025-10-15T11:59:25Z,0
F Van Jones and F the IDF,@achinoy,2025-10-15T06:43:30Z,0
"Van is a damn 🤡!!  Just because he tried to reach out, doesn’t make him good!!!  Van… you are an embarrassment!!  Ever since you got that free$$, you have been a different person!!  BYE😂",@marcybrown1578,2025-10-14T20:07:33Z,0
Charlie kirk is was a nazi,@sharkulashairstylist5505,2025-10-14T02:12:48Z,0
"And now we have Jay Jones inciting violence against Republicans.  
Talk about that please.  He should be immediately removed from the race for AG, charged and sentenced for incitement of violence.
This has to stop and holding people accountable is the ONLY way it will.",@James225,2025-10-12T12:49:32Z,1
I dont agree with Van on almost anything but he has my respect.,@H-Town_83,2025-10-11T22:31:56Z,0
So maybe some of Kirk's supporters were afraid that Kirk was going to support peace instead of violence and thought he was going to become a threat to them?,@2wheelsr2wheels39,2025-10-11T21:39:36Z,0
"Charlie Kirk was a jerk and valued nothing but himself. He had no empathy or sense of compassion in his speech. He only espoused things that cause a shutter and gut check; as if, there is no gut check for a gut check.. There is only the inner voice that says no, I do not agree. Charlie Kirk purposefully ignored his gut check and his death was a product of it. Facts are facts.",@steveng8251,2025-10-11T09:19:49Z,0
"Van Jones is looking out for Van Jones after calling CK a ""31 y.o. kid"" on Maher. A fair-weather ""friend"" thru and thru.",@Bat-Twenty-Two,2025-10-11T09:15:03Z,0
Van Jones is a sold out with no soul,@thyemenia,2025-10-10T22:39:47Z,0
And now bondi is trying to use his death to silence us. Watch out yall.  Charlie wanted a snaller government,@brody231,2025-10-10T05:24:27Z,0
"Jones is an A-hole!Charlie did not look at people-NO ONE  as A MORTAL enemy -so he is clueless and depicting him wrongly. !He is a liar and a faker!And the dude on the subway DID SAY ""I killed that WHITE girl"" so Char was right.CNN sucks and are biased ignorant  b.s.media...just like ours in Canada!",@BOBVICTORS6620,2025-10-09T21:50:52Z,0
I was hopeful watching this and than Van says.... we are seeing people calling for civil war on both sides. ... I dont see conservatives calling for civil war.,@maloryburkhalter6667,2025-10-09T11:15:41Z,0
Van Jones is full of shit calling Charlie a hate monger days before his murder for pointing out the black guy that killed the girl on the train said “I got that white girl” three times in a row on video right after he did that. All Charlie did was accurately point out the left wing media wasn’t covering the story fully as it doesn’t fit the black people are victims and don’t kill white people. FBI stat said a black person is 26 times more likely to kill a white person than the other way around.,@Phoenix1981-q6t,2025-10-09T06:53:17Z,0
(Short) Charlie Kirk If someone were to murder..An eye for an eye..??? https://youtube.com/shorts/NgSkZkzajfA?si=9dm9Zaa4aal4izQK,@dr4391,2025-10-08T18:46:31Z,0
Please watch GIFTED HANDS. Dr. Ben Carson as an angry teen almost murdered a friend. PROVERBS studying the FOOL Vs the WISE in Bible for 3 hours CHANGED HIS LIFE. Went to Harvard but wife suggested he SKIP ALL CLASSES And just read. Brain Surgeon brilliant in Trump's cabinet. MUST WATCH!,@dr4391,2025-10-08T18:45:32Z,0
dudes'  here (plural) have made a career disagreeing about facts. We have always had a choice about disagreeing agreeably.,@FeFiFoFumble,2025-10-08T09:30:24Z,0
You should see the texts Candace has,@linden3363,2025-10-08T01:24:21Z,0
Van jones can’t beat anyone in a debate,@DJ13854,2025-10-08T00:18:16Z,0
Trained liars,@davidclot8364,2025-10-07T15:59:02Z,0
Van Jones calls himself a civil rights advocate but also loves to joke about dead Palestinian babies. Hypocrisy knows no bounds.,@timothyrussell4445,2025-10-07T09:21:00Z,0
"Van said there's call's for violence on both sides , simply not true and he knows that. Republican's aren't killing people, burning police cars , rioting in the streets , attacking police officers and Ice officers who are just taking orders doin their job. The far left and especially the far left media need to tone  down their anti Trump rhetoric or things will only get worse not better. It was their rhetoric that got Charlie Kirk murdered .",@garylafreniere,2025-10-07T03:28:11Z,1
I like Van Jones and appreciate his words on CNN wirgAnderson.,@150Florence,2025-10-07T00:47:40Z,0
Dead babies are a legacy of van jones and cnn and netenyahu and not Iran,@NuwaherezaAllan-i9z,2025-10-06T22:59:23Z,0
"I wouldn’t believe that kirk would  have a civil dialogue with Jones.
It was just a coincidence,just an invite to his show after causing some traction.",@Dontstartnothing,2025-10-06T22:37:08Z,0
